Código;BBAS3;Digite o código da empresa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Empresa;Banco Do Brasil;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Segmento;Bancos;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Último Balanço;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Inicial;30/09/14;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data Final;30/09/24;Não alterar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data final selecionada;;Digite uma data ou deixe vazio que a data do último balanço sera a referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos;10;Digite a quantidade de anos que deseja visualizar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meses ;Trimestre;Escolha o périodo da DRE E FC (3meses, 12 Meses ou no exercicio) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de balanço;Consolidado;Defina se deseja ver Nrs Consolidados ou Individuais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Preço Ação R$ Ajustado Bruto .BBAS3;Valor de Mercado (R$) Milhão .BBAS3;EV R$ Consolidado  Milhão .BBAS3;%Val Merc Vs EV .BBAS3;D/(d+E) Patr Liquido % Consolidado .BBAS3;P/L Anos Consolidado  Trimestre .BBAS3;P/VPA x Consolidado .BBAS3;EV/EBITDA x Consolidado  Trimestre .BBAS3;P/Ebitda x Consolidado  Trimestre .BBAS3;PSR x Consolidado  Trimestre .BBAS3; .BBAS3;Rec Liquida Operacionar R$ Consolidado  Trimestre  Milhão .BBAS3;Lucro Bruto R$ Consolidado  Trimestre  Milhão .BBAS3;Margem Bruta % Consolidado  Trimestre .BBAS3;Lucro EBIT R$ Consolidado  Trimestre  Milhão .BBAS3;Margem Ebit % Consolidado  Trimestre .BBAS3;Ebitda R$ Consolidado  Trimestre  Milhão .BBAS3;Lucro Líquido R$ Consolidado  Trimestre  Milhão .BBAS3;Margem Líquida % Consolidado  Trimestre .BBAS3;LPA R$ Consolidado  Trimestre  Unidade .BBAS3;VPA R$ Consolidado  Unidade .BBAS3;Ebitda p/Ação R$ Consolidado  Trimestre  Unidade .BBAS3; .BBAS3;Ativo Total R$ Consolidado  Milhão .BBAS3;Patrimônio Liquido R$ Consolidado  Milhão .BBAS3;Dívida Bruta R$ Consolidado  Milhão .BBAS3;Dívida Líquida R$ Consolidado  Milhão .BBAS3;Caixa R$.BBAS3;Capital de Giro R$ Consolidado  Milhão .BBAS3;Div Bruta/Ativo Total % Consolidado .BBAS3;Div Bruta/Patrim Liquido % Consolidado .BBAS3;Ebit/DIv Bruta % Consolidado  Trimestre .BBAS3;Div Líquida/Ebitda x Consolidado  Trimestre .BBAS3;Div CP/Div Total % Consolidado .BBAS3; .BBAS3;Ações Emitidas Milhar .BBAS3;Ações Outstanding Milhar .BBAS3;Ações Tesouraria Milhar .BBAS3;Ações Outstanding Média Trimestre  Milhar .BBAS3
set-19;14,84;126.793;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.787.265;78.152;2.786.493
dez-19;17,43;147.223;;;;;1,36;;;;;;;;;;;0;;0,00;38,65;;;1.452.267;107.735;;;0;;;;;;;;2.865.417;2.787.265;78.152;2.787.265
mar-20;9,33;79.547;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.852.168;13.249;2.850.977
jun-20;10,76;91.697;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.852.170;13.247;2.852.169
set-20;10,08;84.513;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.853.239;12.178;2.852.186
dez-20;13,32;110.706;;;;;0,88;;;;;;;;;;;0;;0,00;43,84;;;1.693.794;125.100;;;0;;;;;;;;2.865.417;2.853.239;12.178;2.853.239
mar-21;10,67;86.887;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.853.442;11.975;2.853.245
jun-21;11,45;91.680;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.853.399;12.018;2.853.441
set-21;10,49;82.463;;;;;;;;;;;;;;;;0;;0,00;0,00;;;;0;;;0;;;;;;;;2.865.417;2.853.399;12.018;2.853.399
dez-21;10,67;82.321;;;;;0,58;;;;;;;;;;;0;;0,00;50,03;;;1.899.341;142.751;;;0;;;;;;;;2.865.417;2.853.399;12.018;2.853.399
mar-22;13,22;99.019;;;;21,65;0,67;;;;;;;31,75;;;;4.568;10,26;1,60;51,97;;;1.998.422;148.306;;;0;;;;;;;;2.865.417;2.853.587;11.830;2.853.445
jun-22;13,04;95.254;;;;11,60;0,63;;;;;;;31,27;;;;8.202;15,18;2,87;53,22;;;2.047.387;151.864;;;0;;;;;;;;2.865.417;2.853.636;11.781;2.853.587
set-22;15,44;109.922;;;;14,63;0,72;;;;;;;30,24;;;;7.509;12,32;2,63;53,66;;;2.096.035;153.122;;;0;;;;;;;;2.865.417;2.853.636;11.781;2.853.636
dez-22;14,40;99.107;;;;13,47;0,62;;;;;;;32,54;;;;7.351;12,42;1,29;27,85;;;2.007.728;158.956;;;0;;;;;;;;2.865.417;2.853.636;11.781;2.853.636
mar-23;16,69;111.613;;;;16,67;0,68;;;;;;;32,19;;;;6.691;11,06;1,17;28,60;;;2.089.928;163.229;;;0;;;;;;;;2.865.417;2.853.826;11.591;2.853.639
jun-23;21,61;140.979;;;;16,85;0,87;;;;;;;33,14;;;;8.363;13,59;1,47;28,49;;;2.075.763;162.606;;;0;;;;;;;;2.865.417;2.853.826;11.591;2.853.826
set-23;21,14;134.644;;;;16,75;0,81;;;;;;;32,76;;;;8.035;12,48;1,41;29,03;;;2.226.283;165.687;;;0;;;;;;;;2.865.417;2.853.826;11.591;2.853.826
dez-23;25,37;158.073;;;;23,34;0,93;;;;;;;35,86;;;;6.772;12,85;1,19;29,65;;;2.153.878;169.235;;;0;;;;;;;;2.865.417;2.853.826;11.591;2.853.826
mar-24;26,50;161.581;;;;20,12;0,92;;;;;;;38,55;;;;8.030;13,02;1,41;30,62;;;2.283.160;174.748;;;0;;;;;;;;2.865.417;2.853.826;11.591;2.853.776
jun-24;25,62;152.449;;;;17,53;0,85;;;;;;;38,40;;;;8.697;14,24;1,52;31,34;;;2.330.349;178.887;;;0;;;;;;;;2.865.417;2.853.776;11.641;5.707.620
set-24;26,67;155.142;;;;29,46;0,86;;;;;;;38,10;;;;5.266;8,56;0,92;31,65;;;2.436.404;180.666;;;0;;;;;;;;5.730.834;5.707.958;22.876;5.707.941
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
